,source_sentence,label,human,time,location
0,"In 1838 he was Government Resident at Bunbury, and he was a Member of the Executive Council in 1841.",career,he,1841,Bunbury
1,"Dubuc was born in St. Johnsbury, Vermont, in 1888.",birth,Dubuc,1888,Vermont
2,"He died on February 19, 1992, in Arlington, Virginia, and his ashes where buried at Arlington National Cemetery beside two 2-star generals.",death,He,"February 19, 1992",Arlington
3,In 1856 he was appointed principal flute of the Bolshoi Theatre in Moscow.,career,he,1856,Moscow
4,"Born in Timișoara, Romania, where he lived until the age of nineteen, Skeid, who studied the violin, was named for famous composer Ciprian Porumbescu.",birth,he,the age of nineteen,Timișoara
5,"In 1825 Hartshorne was invited by his friend Frederick North, 5th Earl of Guilford, who had been appointed ""archon"" over the University of Corfu he had founded, to accompany him to the island, which was then ruled by the British.",career,Guilford,1825,University of Corfu
6,"Tony Rezko was born in 1955 in Aleppo, Syria, to a prominent Assyrian Syriac Catholic family.",birth,Tony Rezko,1955,Aleppo
7,"At the age of 12, along with her parents, Anne Hazen McFarland went to live with her grandfather, Andrew McFarland, at Jacksonville, Illinois, who was long celebrated in the treatment of the insane, and founder of Oak Lawn Retreat, also in Jacksonville.",settlement,Anne Hazen McFarland,the age of,Jacksonville
8,"After graduating from Osaka University of Commerce, he joined newly was promoted to J1 League club, Cerezo Osaka in 1995.",education,he,1995,Osaka University of Commerce
9,"Finally, he was executed on June 30, 1925 in Baku.",death,he,"June 30, 1925",Baku
10,"He married Feigele Lipszyc, daughter of Moshe ""Halfon"" Lipszyc, in 1811, and settled in Warsaw.",marriage,He,1811,Warsaw
11,"In 1887, they were joined by their younger brother, Hugo (1868–1939), who had originally moved to the city to attend St. Louis Medical College.",education,they,1887,St. Louis Medical College
12,"Tommy Burns won his first race at age 16 at a racetrack in Hamilton, Ontario.",competition,Tommy Burns,age 16,Hamilton
13,"Reed""s first attempt to enter Parliament was in Lambeth, contesting the Labour nomination for the Streatham constituency in 2008, on the retirement of Keith Hill.",career,Keith Hill,2008,Lambeth
14,"He was born on March 13, 1863, in Medina, Orleans County, New York, the son of Michael O""Malley and Bridget (Whalen) O""Malley.",give birth,"Bridget (Whalen) O""Malley","March 13, 1863",Medina
15,"He was born in a tiny Barcelona apartment in Ronda de Sant Antoni on June 20th, 1940, from parents Concepció Jornet and Pere Benet.",birth,He,"June 20th, 1940",Barcelona
16,"After losing to future world champion Nino Benvenuti in Milan, Leahy fought for a final time on 19 March 1965, losing to Jupp Elze in Cologne, Germany.",competition,Leahy,19 March 1965,Milan
17,"His parents, Samuel and Sarah (Soole) Hinckley, were followers of the Nonconformist minister John Lothropp, in whose church at nearby Hawkhurst Thomas was baptized on March 19, 1618.",assembly,John Lothropp,"March 19, 1618",Hawkhurst
18,Henry III died on 11 December 1310 and was buried in the Cistercian Church of Lubiąż.,death,Henry III,11 December 1310,Cistercian Church of Lubiąż
19,"Bernardo de"" Rossi fled to Parma in 1524, and died a few years later, perhaps poisoned by his nephews Giovan Girlamo and Bertrando.",death,Giovan Girlamo,a few years later,Parma
20,He then returned to Bloemfontein and in 1904 he began practicing as an advocate.,career,he,1904,Bloemfontein
21,"When she was eight, in 1979, her mother married a Norwegian and they moved to Volda in Norway.",movement,she,eight,Volda
22,Clementine accompanied him in the following years on his professional travels in Europe and the United States.,movement,Clementine,the following years,Europe
23,"During his last years, he lived and worked in Gnesta outside Stockholm.",settlement,he,his last years,Gnesta
24,He was born on 17 May 1918 in Grenada and was educated at the Grenada Boys Grammar School.,birth,He,17 May 1918,Grenada
25,"Spanish sources indicate that Diego García was born in Moguer in 1484 (or 1496), but there are Portuguese sources say he was born in Lisbon.",birth,Diego García,1484,Moguer
26,"Bosse Broberg (born September 6, 1937, Ludvika) is a Swedish jazz trumpeter and composer.",birth,Bosse Broberg,"September 6, 1937",Ludvika
27,"In 1327, after the death of his guru Yönden Gyantso, Dölpopa decided to fulfill a prayer he had made at the great stupa at Trophu (Khro phu) to repay his master""s kindness.",assembly,Dölpopa,1327,Trophu
28,"Vušković studied visual arts in Belgrade (1920–1922) and Vienna, where he graduated in 1924.",education,he,1924,Belgrade
29,"Lyons was born in Clovis, New Mexico and graduated from Clovis High School in 1972.",education,Lyons,1972,Clovis
30,"In 1921 in Newport, Monmouthshire, J. Harold Sheldon married Marjorie Bannister.",marriage,J. Harold Sheldon,1921,Newport
31,Gwyneth Rees was born in Leicester in 1968.,birth,Gwyneth Rees,1968,Leicester
32,"On July 23, 1873, she married Charles B. Tiernan, of Baltimore.",marriage,she,"July 23, 1873",Baltimore
33,"He competed at the Mediterranean Games in 1951 where he won a silver medal in the team sabre event and bronze medals in the épée and foil events, and in 1955, where he won bronze medals in the sabre, épée and foil team events.",competition,he,1951,Mediterranean Games
34,"After graduating high school in Michigan, Joslyn enrolled at the University of California, Berkeley where he earned a B.S. in 1926 and a M.S. in 1928.",education,Joslyn,1926,Michigan
35,"The custody of Anna was a problem; in 1935 Silvia took refuge with Anna in the Soviet consulate in Shanghai, where they were living at the time because Francisco Giannini was trying to obtain custody of the child.",settlement,Anna,1935,Shanghai
36,"Bryony Elisabeth Shaw (born 28 April 1983, Wandsworth) is a British Olympic windsurfer.",birth,Bryony Elisabeth Shaw,28 April 1983,Wandsworth
37,"By 1611, a new town of eighty houses had been established at Bangor, where Hamilton lived.",settlement,Hamilton,1611,Bangor
38,João Mouzinho de Albuquerque (21 February 1797 in Leiria – 8 August 1881 in Portalegre) was a Portuguese writer and administrator.,birth,João Mouzinho de Albuquerque,21 February 1797,Leiria
39,"At the age of 12, she was discovered by a talent scout in Los Angeles Park and began her modeling career.",career,she,12,Los Angeles Park
40,"Between 1896 and 1906, Cox was employed at the San Antonio Academy as instructor and vice-principal, and instructor in history at the University of Cincinnati, where he was afterward assistant professor.",career,he,Between 1896 and 1906,San Antonio Academy
41,"Rowland Perkins was born on July 10, 1934 in Los Angeles, California.",birth,Rowland Perkins,"July 10, 1934",California
42,"Between 1832 and 1833, D""Oyly took leave at the Cape of Good Hope, returning to Calcutta to become the Senior Member of the Board of Customs, Salt, Opium and of the Marine.",career,"D""Oyly",Between 1832 and 1833,Calcutta
43,He moved to Edinburgh in 1803 and had premises at 4 North College Street.,settlement,He,1803,Edinburgh
44,"In 2017 tour South America and Europe with Temple, this time featuring Ronnie Romero from Rainbow.",performance,Ronnie Romero,2017,Europe
45,"He lived in Surbiton, Surrey (south-west London) for most of his adult life, but moved to Norwich, Norfolk, in 2005 to live with his elder daughter and son-in-law, when his health became frail.",settlement,He,2005,Surbiton
